id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
101013	20020131	1	900000000000207008	126813005	en	900000000000013009	Neoplasm of anterior aspect of epiglottis	900000000000020002
102018	20020131	1	900000000000207008	126814004	en	900000000000013009	Neoplasm of junctional region of epiglottis	900000000000020002
103011	20020131	1	900000000000207008	126815003	en	900000000000013009	Neoplasm of lateral wall of oropharynx	900000000000020002
104017	20020131	1	900000000000207008	126816002	en	900000000000013009	Neoplasm of posterior wall of oropharynx	900000000000020002
105016	20020131	1	900000000000207008	126817006	en	900000000000013009	Neoplasm of esophagus	900000000000020002
106015	20020131	1	900000000000207008	126818001	en	900000000000013009	Neoplasm of cervical esophagus	900000000000020002
107012	20020131	1	900000000000207008	126819009	en	900000000000013009	Neoplasm of thoracic esophagus	900000000000020002
108019	20020131	1	900000000000207008	126820003	en	900000000000013009	Neoplasm of abdominal esophagus	900000000000020002
110017	20020131	1	900000000000207008	126822006	en	900000000000013009	Neoplasm of middle third of esophagus	900000000000020002
111018	20020131	1	900000000000207008	126823001	en	900000000000013009	Neoplasm of lower third of esophagus	900000000000020002
112013	20020131	1	900000000000207008	126824007	en	900000000000013009	Neoplasm of stomach	900000000000020002
113015	20020131	1	900000000000207008	126825008	en	900000000000013009	Neoplasm of cardia of stomach	900000000000020002
114014	20020131	1	900000000000207008	126826009	en	900000000000013009	Neoplasm of fundus of stomach	900000000000020002
115010	20020131	1	900000000000207008	126827000	en	900000000000013009	Neoplasm of body of stomach	900000000000020002
116011	20020131	1	900000000000207008	126828005	en	900000000000013009	Neoplasm of lesser curvature of stomach	900000000000020002
117019	20020131	1	900000000000207008	126829002	en	900000000000013009	Neoplasm of greater curvature of stomach	900000000000020002
118012	20020131	1	900000000000207008	126830007	en	900000000000013009	Neoplasm of pyloric antrum	900000000000020002
119016	20020131	1	900000000000207008	126831006	en	900000000000013009	Neoplasm of pylorus	900000000000020002
120010	20020131	1	900000000000207008	126832004	en	900000000000013009	Neoplasm of small intestine	900000000000020002
121014	20020131	1	900000000000207008	126833009	en	900000000000013009	Neoplasm of duodenum	900000000000020002
